ApplicationName,Category,DetailPage,PrivacyPolicyLink,State
橙意医生,医疗健康,com.cydoctor.cydoctor,http://dev.chengyifamily.com:8110/privacypolicy_doctor.html,success
1药网,医疗健康,com.yiwang,https://m.111.com.cn/cmsPage/20199f79a4020215104224/index.html,success
快速问医生,医疗健康,com.ts.zys,https://www.nocare.com/about/privacy,success
医科院肿瘤医院,医疗健康,com.aksofy.ykyzl,https://h5.aksofy.com/aprivacy.html,success
丁香园,医疗健康,cn.dxy.idxyer,https://assets.dxycdn.com/assets/app/bbs/clause/b.htm,success
健康160,医疗健康,cn.kidyn.qdmedical160,https://weixin.91160.com/sys/helpdetail.html?qid=265,success
花禾悦技师端,医疗健康,com.technician.cn,https://share.huaheyue.com/#/pages/techina?type=2,success
妙手医生,医疗健康,com.yuanxin.perfectdoc,http://ucenter.miaoshou.com/public/privacy-agreement,success
减肥日记,医疗健康,com.weight.slimmingxx,https://short.ss.bscstorage.com/private/3b9bec46a2fc.html,success
悠悠上门按摩,医疗健康,uni.UNI59F1744,https://anmo.huadu665020.com/installation_package/yhdv3yszc.html,success
好医工-医疗行业直播平台,医疗健康,com.klgz.app.haoyigong,http://h5.haoyigong.com/vweb/user/privacy.html,success
歧黄医官医生端,医疗健康,com.saas.doctor,http://c.xlanben.com/doctor/cms/privacy,success
彭友友,医疗健康,com.pengyou.www,http://www.pengyoufenqi.com/cdmyfq.com/pengyou/privacy.html,success
同普医学,医疗健康,com.tongpu.med,https://www.tongpumed.com/document/02-pyce.html,success
优麦医生,医疗健康,cn.com.shanghai.umer_doctor,http://app.umer.com.cn/common/privacyPolicyDocument,success
月经期,医疗健康,com.juhe.dayima,https://yinsi.juhe62.com/privacyPolicy/com.juhe.dayima/月经期/,success
罗曼口腔内窥镜,医疗健康,com.roaman.romanendoscope,https://5g.roaman.vip/iframe/sucaishow.aspx?nds=13,success
三诺健恒,医疗健康,com.sinocare.yn,https://openplattest.sinocare.com/settlement.html,success
抑郁症,医疗健康,com.qizhenyun.psytest,http://www.qizhenyun.cn/4e2f1764-a4e8-44b0-afcc-5cde0485a299.html,success
科瑞泰Q医,医疗健康,com.careate.qyi,https://dr.careate.cn/flys.html,success
怡禾,医疗健康,com.yaeherhealth.app,https://www.yaeyatech.com/private-protocol.html,success
